"Product Name","OrgPrice","Price","Rating"
"REDMI Note 9 (Scarlet Red, 128 GB)",18900,14985,"4.3"
"REDMI Note 9 (Shadow Black, 128 GB)",18999,14999,"4.3"
"REDMI Note 9 (Shadow Black, 64 GB)",13080,11989,"4.3"
"REDMI Note 9 (Arctic White, 128 GB)",16499,18999,"4.3"
"REDMI Note 9 (Pebble Grey, 64 GB)",18999,12490,"4.3"
"REDMI Note 9 (Scarlet Red, 128 GB)",15999,13499,"4.3"
"REDMI Note 9 (Pebble Grey, 128 GB)",15990,14999,"4.3"
"REDMI Note 9 (Aqua Green, 128 GB)",14999,14990,"4.3"
"REDMI Note 9 (Arctic White, 128 GB)",17999,15990,"4.3"
"REDMI Note 9 (Shadow Black, 128 GB)",14999,14985,"4.3"
"REDMI Note 9 (Pebble Grey, 128 GB)",15990,13990,"4.3"
"REDMI Note 9 (Aqua Green, 64 GB)",17980,11999,"4.3"
"POCO M4 Pro (Cool Blue, 64 GB)",14550,14999,"4.3"
"REDMI Note 9 (Arctic White, 64 GB)",11999,11999,"4.3"
"REDMI Note 9 (Scarlet Red, 128 GB)",12990,12990,"4.3"
"REDMI Note 9 (Aqua Green, 128 GB)",18999,18999,"4.3"
"REDMI Note 9 (Scarlet Red, 64 GB)",11990,11990,"4.3"
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",16990,16990,"4.3"
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",14879,14879,"4.3"
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",15999,15999,"4.3"
"REDMI Note 9 Pro Max (Glacier White, 128 GB)",20999,20999,"4.4"
"Redmi Note 9 Pro (Aurora Blue, 64 GB)",14999,14999,"4.3"
"REDMI Note 9 Pro Max (Interstellar Black, 64 GB)",18999,18999,"4.4"
"Redmi Note 9 Pro (Glacier White, 128 GB)",13990,13990,"4.3"
